general_ancestor_concept_name,general_ancestor_concept_id,descendant_concept_id,concept_name
Disorder of cardiovascular system,134057,443784,Vascular disorder
Disorder of cardiovascular system,134057,44784217,Cardiac arrhythmia
Disorder of cardiovascular system,134057,4248028,Supraventricular arrhythmia
Disorder of cardiovascular system,134057,316139,Heart failure
Disorder of cardiovascular system,134057,4068155,Atrial arrhythmia
Disorder of cardiovascular system,134057,4226399,Fibrillation
Disorder of cardiovascular system,134057,313217,Atrial fibrillation
Disorder of cardiovascular system,134057,4028741,Benign hypertension
Disorder of cardiovascular system,134057,312648,Benign essential hypertension
Disorder of cardiovascular system,134057,4028367,Acute disease of cardiovascular system
Disorder of cardiovascular system,134057,4089897,Vascular degeneration
Disorder of cardiovascular system,134057,318443,Arteriosclerotic vascular disease
Disorder of cardiovascular system,134057,40479625,Atherosclerosis of artery
Disorder of cardiovascular system,134057,43022059,Disease of non-coronary systemic artery
Disorder of cardiovascular system,134057,317576,Coronary arteriosclerosis
Disorder of cardiovascular system,134057,40481919,Coronary atherosclerosis
Disorder of cardiovascular system,134057,319835,Congestive heart failure
Disorder of cardiovascular system,134057,4185932,Ischemic heart disease
Disorder of cardiovascular system,134057,4028244,Chronic disease of cardiovascular system
Disorder of cardiovascular system,134057,4239975,Myocardial disease
Disorder of cardiovascular system,134057,4281749,Heart valve disorder
Disorder of cardiovascular system,134057,40488439,Abnormality of systemic vein
Disorder of cardiovascular system,134057,4134586,Chronic heart disease
Disorder of cardiovascular system,134057,4132088,Acute heart disease
Disorder of cardiovascular system,134057,381591,Cerebrovascular disease
Disorder of cardiovascular system,134057,764123,Atherosclerosis of coronary artery without angina pectoris
Disorder of cardiovascular system,134057,4027369,Vascular disease of abdomen
Disorder of cardiovascular system,134057,312349,Venous varices
Disorder of cardiovascular system,134057,4134454,Vascular headache
Disorder of cardiovascular system,134057,321052,Peripheral vascular disease
Disorder of cardiovascular system,134057,318736,Migraine
Disorder of cardiovascular system,134057,4329847,Myocardial infarction
Disorder of cardiovascular system,134057,4231363,Thrombosis
Disorder of cardiovascular system,134057,4208466,Thrombosis of blood vessel
Disorder of cardiovascular system,134057,442604,Hypertensive heart disease
Disorder of cardiovascular system,134057,444031,Chronic heart failure
Disorder of cardiovascular system,134057,4095643,Trunk varices
Disorder of cardiovascular system,134057,444247,Venous thrombosis
Disorder of cardiovascular system,134057,319843,Mitral valve disorder
Disorder of cardiovascular system,134057,197311,Pelvic varices
Disorder of cardiovascular system,134057,195562,Hemorrhoids
Disorder of cardiovascular system,134057,321319,Cardiomyopathy
Disorder of cardiovascular system,134057,443580,Systolic heart failure
Disorder of cardiovascular system,134057,314054,Aortic valve disorder
Disorder of cardiovascular system,134057,443587,Diastolic heart failure
Disorder of cardiovascular system,134057,321318,Angina pectoris
Disorder of cardiovascular system,134057,4185607,Embolism
Disorder of cardiovascular system,134057,4158911,Non-rheumatic heart valve disorder
Disorder of cardiovascular system,134057,319844,Acute ischemic heart disease
Disorder of cardiovascular system,134057,4311420,Vascular insufficiency
Disorder of cardiovascular system,134057,317002,Low blood pressure
Disorder of cardiovascular system,134057,40479192,Chronic systolic heart failure
Disorder of cardiovascular system,134057,312327,Acute myocardial infarction
Disorder of cardiovascular system,134057,4102928,Obstruction of precerebral artery
Disorder of cardiovascular system,134057,442310,Acute heart failure
Disorder of cardiovascular system,134057,312339,Arterial embolism
Disorder of cardiovascular system,134057,40479576,Chronic diastolic heart failure
Disorder of cardiovascular system,134057,4133004,Deep venous thrombosis
Disorder of cardiovascular system,134057,4154290,Paroxysmal atrial fibrillation
Disorder of cardiovascular system,134057,320425,Heart block
Disorder of cardiovascular system,134057,4149782,Thrombosis of vein of lower limb
Disorder of cardiovascular system,134057,314666,Old myocardial infarction
Disorder of cardiovascular system,134057,319034,Hypertensive heart disease without congestive heart failure
Disorder of cardiovascular system,134057,443537,Deep venous thrombosis of lower extremity
Disorder of cardiovascular system,134057,4288310,Carotid artery obstruction
