general_ancestor_concept_name,general_ancestor_concept_id,descendant_concept_id,concept_name,concept_id,concept_synonym_name
Disorder of cardiovascular system,134057,443784,Vascular disorder,443784,Angiopathy
Disorder of cardiovascular system,134057,443784,Vascular disorder,443784,Disorder of blood vessel
Disorder of cardiovascular system,134057,443784,Vascular disorder,443784,Vascular disease
Disorder of cardiovascular system,134057,443784,Vascular disorder,443784,Disorder of blood vessel (disorder)
Disorder of cardiovascular system,134057,44784217,Cardiac arrhythmia,44784217,Arrhythmia
Disorder of cardiovascular system,134057,44784217,Cardiac arrhythmia,44784217,Disorder of heart rhythm
Disorder of cardiovascular system,134057,44784217,Cardiac arrhythmia,44784217,Cardiac dysrhythmia
Disorder of cardiovascular system,134057,44784217,Cardiac arrhythmia,44784217,Cardiac arrhythmia (disorder)
Disorder of cardiovascular system,134057,4248028,Supraventricular arrhythmia,4248028,Supraventricular arrhythmia (disorder)
Disorder of cardiovascular system,134057,316139,Heart failure,316139,Heart failure (disorder)
Disorder of cardiovascular system,134057,316139,Heart failure,316139,HF - Heart failure
Disorder of cardiovascular system,134057,316139,Heart failure,316139,Myocardial failure
Disorder of cardiovascular system,134057,316139,Heart failure,316139,Cardiac failure
Disorder of cardiovascular system,134057,316139,Heart failure,316139,Cardiac insufficiency
Disorder of cardiovascular system,134057,316139,Heart failure,316139,Weak heart
Disorder of cardiovascular system,134057,4068155,Atrial arrhythmia,4068155,Atrial arrhythmia (disorder)
Disorder of cardiovascular system,134057,4226399,Fibrillation,4226399,Cardiac fibrillation
Disorder of cardiovascular system,134057,4226399,Fibrillation,4226399,Fibrillation (disorder)
Disorder of cardiovascular system,134057,313217,Atrial fibrillation,313217,Atrial fibrillation (disorder)
Disorder of cardiovascular system,134057,313217,Atrial fibrillation,313217,AF - Atrial fibrillation
Disorder of cardiovascular system,134057,4028741,Benign hypertension,4028741,Benign hypertension (disorder)
Disorder of cardiovascular system,134057,312648,Benign essential hypertension,312648,Benign essential hypertension (disorder)
Disorder of cardiovascular system,134057,4028367,Acute disease of cardiovascular system,4028367,Acute disorder of cardiovascular system
Disorder of cardiovascular system,134057,4028367,Acute disease of cardiovascular system,4028367,Acute cardiovascular disease
Disorder of cardiovascular system,134057,4028367,Acute disease of cardiovascular system,4028367,Acute disease of cardiovascular system (disorder)
Disorder of cardiovascular system,134057,4028367,Acute disease of cardiovascular system,4028367,Acute cardiovascular disorder
Disorder of cardiovascular system,134057,4089897,Vascular degeneration,4089897,Vascular degeneration (disorder)
